__IATA__	__ICAO__	__airport name__	__place name__
ASL	KASL	Harrison_County_Airport_(Texas)|Harrison County Airport	Marshall, Texas, United States
ASN	KASN	Talladega Municipal Airport	Talladega, Alabama, United States
ASQ		Austin Airport (FAA: 9U3)	Austin, Nevada, United States
AST	KAST	Astoria Regional Airport	Astoria, Oregon, United States
ASX	KASX	John F. Kennedy Memorial Airport	Ashland, Wisconsin, United States
ASY	KASY	Ashley Municipal Airport	Ashley, North Dakota, United States
ATE		Antlers Municipal Airport (FAA: 80F)	Antlers, Oklahoma, United States
ATK	PATQ	Atqasuk Edward Burnell Sr. Memorial Airport	Atqasuk, Alaska, United States
ATL	KATL	Hartsfield-Jackson Atlanta International Airport	Atlanta, Georgia, United States
ATO	KUNI	Ohio University Airport (Snyder Field) (FAA: UNI)	Athens, Ohio|Athens/Albany, Ohio, United States
ATS	KATS	Artesia Municipal Airport	Artesia, New Mexico, United States
ATT		Atmautluak Airport (FAA: 4A2)	Atmautluak, Alaska, United States
ATU	PAAT	Casco Cove Coast Guard Station	Attu Island, Alaska, United States
ATW	KATW	Outagamie County Regional Airport	Greenville, Wisconsin, United States
ATY	KATY	Watertown Regional Airport	Watertown, South Dakota, United States
AUG	KAUG	Augusta State Airport	Augusta, Maine, United States
AUK		Alakanuk Airport	Alakanuk, Alaska, United States
AUM	KAUM	Austin Municipal Airport	Austin, Minnesota, United States
AUN	KAUN	Auburn Municipal Airport (California)|Auburn Municipal Airport	Auburn, California, United States
AUO	KAUO	Auburn-Opelika Robert G. Pitts Airport	Auburn, Alabama, United States
AUS	KAUS	Austin-Bergstrom International Airport	Austin, Texas, United States
AUW	KAUW	Wausau Downtown Airport	Wausau, Wisconsin, United States
AUZ	KARR	Aurora Municipal Airport (Illinois)|Aurora Municipal Airport (FAA: ARR)	Aurora, Illinois, United States
AVL	KAVL	Asheville Regional Airport	Fletcher, North Carolina, United States
AVO	KAVO	Avon Park Executive Airport	Avon Park, Florida, United States
AVP	KAVP	Wilkes-Barre/Scranton International Airport	Avoca, Pennsylvania, United States
AVW	KAVQ	Marana Regional Airport (FAA: AVQ)	Tucson, Arizona, United States
AWK	PWAK	Wake Island Airfield	Wake Island, United States Minor Outlying Islands
AWM	KAWM	West Memphis Municipal Airport	West Memphis, Arkansas, United States
AXB		Maxson Airfield (FAA: 89N)	Alexandria Bay, New York, United States
AXG	KAXA	Algona Municipal Airport (FAA: AXA)	Algona, Iowa, United States
AXN	KAXN	Chandler Field	Alexandria, Minnesota, United States
AXS	KAXS	Altus/Quartz Mountain Regional Airport	Altus, Oklahoma, United States
AXV	KAXV	Neil Armstrong Airport	Wapakoneta, Ohio, United States
AXX	KAXX	Angel Fire Airport	Angel Fire, New Mexico, United States
AYE		Moore Army Airfield (Fort Devens) (closed 1995-2000)	Leominster, Massachusetts, United States
AYS	KAYS	Waycross-Ware County Airport	Waycross, Georgia, United States
AZA	KIWA	Phoenix-Mesa Gateway Airport (FAA: IWA)	Phoenix, Arizona, United States
AZO	KAZO	Kalamazoo/Battle Creek International Airport	Kalamazoo, Michigan|Kalamazoo/Battle Creek, Michigan, United States
BAB	KBAB	Beale Air Force Base	Marysville, California, United States
BAD	KBAD	Barksdale Air Force Base	Bossier City, Louisiana, United States
BAF	KBAF	Barnes Municipal Airport	Westfield, Massachusetts|Westfield / Springfield, Massachusetts, United States
BAM	KBAM	Battle Mountain Airport (Lander County Airport)	Battle Mountain, Nevada, United States
BAR		Baker Army Airfield (abandoned)	Baker Island, United States Minor Outlying Islands
BBB	KBBB	Benson Municipal Airport (Minnesota)|Benson Municipal Airport	Benson, Minnesota, United States
BBC	KBYY	Bay City Municipal Airport (FAA: BYY)	Bay City, Texas, United States
BBD	KBBD	Curtis Field	Brady, Texas, United States
BBW	KBBW	Broken Bow Municipal Airport	Broken Bow, Nebraska, United States
BBX	KLOM	Wings Field (FAA: LOM)	Blue Bell, Pennsylvania, United States
BCB	KBCB	Virginia Tech Montgomery Executive Airport	Blacksburg, Virginia, United States
BCC		Bear Creek 3 Airport (FAA: Z48)	Bear Creek, Alaska, United States
BCE	KBCE	Bryce Canyon Airport	Bryce Canyon, Utah|Bryce Canyon, Utah, United States
BCS		Southern Seaplane Airport (FAA: 65LA)	Belle Chasse, Louisiana, United States
BCT	KBCT	Boca Raton Airport	Boca Raton, Florida, United States
BDE	KBDE	Baudette International Airport	Baudette, Minnesota, United States
BDF		Rinkenberger RLA Airport (FAA: 3IS8)	Bradford, Illinois, United States
BDG	KBDG	Blanding Municipal Airport	Blanding, Utah, United States
BDL	KBDL	Bradley International Airport	Windsor Locks (near Hartford, Connecticut|Hartford), Connecticut, United States
BDR	KBDR	Igor I. Sikorsky Memorial Airport	Bridgeport, Connecticut, United States
BDY		Bandon State Airport (FAA: S05)	Bandon, Oregon, United States
BEC	KBEC	Beech Factory Airport	Wichita, Kansas, United States
BED	KBED	Hanscom Field|Laurence G. Hanscom Field	Bedford, Massachusetts, United States
BEH	KBEH	Southwest Michigan Regional Airport	Benton Harbor, Michigan, United States
BET	PABE	Bethel Airport	Bethel, Alaska, United States
BFD	KBFD	Bradford Regional Airport	Bradford, Pennsylvania, United States
BFF	KBFF	Western Nebraska Regional Airport (William B. Heilig Field)	Scottsbluff, Nebraska, United States
BFG		Bullfrog Basin Airport (FAA: U07)	Glen Canyon National Recreation Area|Glen Canyon, Utah, United States
BFI	KBFI	Boeing Field|Boeing Field/King County International Airport	Seattle, Washington, United States
BFL	KBFL	Meadows Field	Bakersfield, California, United States
BFM	KBFM	Mobile Downtown Airport	Mobile, Alabama, United States
BFP	KBVI	Beaver County Airport (FAA: BVI)	Beaver Falls, Pennsylvania, United States
BFR	KBFR	Virgil I. Grissom Municipal Airport	Bedford, Indiana, United States
BFT	KARW	Beaufort County Airport (FAA: ARW)	Beaufort County, South Carolina, United States
BGD	KBGD	Hutchinson County Airport	Borger, Texas, United States
BGE	KBGE	Decatur County Industrial Air Park	Bainbridge, Georgia, United States
BGM	KBGM	Greater Binghamton Airport (Edwin A. Link Field)	Binghamton, New York, United States
BGQ	PAGQ	Big Lake Airport	Big Lake, Alaska, United States
BGR	KBGR	Bangor International Airport	Bangor, Maine, United States
BGS		Webb Air Force Base (closed 1977)	Big Spring, Texas, United States
BGT		Bagdad Airport (FAA: E51)	Bagdad, Arizona, United States
BHB	KBHB	Hancock County-Bar Harbor Airport	Bar Harbor, Maine, United States
BHM	KBHM	Birmingham-Shuttlesworth International Airport	Birmingham, Alabama, United States
BID	KBID	Block Island State Airport	Block Island, Rhode Island, United States
BIE	KBIE	Beatrice Municipal Airport	Beatrice, Nebraska, United States
BIF	KBIF	Biggs Army Airfield	Fort Bliss, El Paso, Texas, United States
BIG	PABI	Allen Army Airfield (formerly Big Delta Army Airfield)	Fort Greely, Alaska|Fort Greely, Delta Junction, Alaska, United States
BIH	KBIH	Eastern Sierra Regional Airport	Bishop, California, United States
BIL	KBIL	Billings Logan International Airport	Billings, Montana, United States
BIS	KBIS	Bismarck Municipal Airport	Bismarck, North Dakota, United States.
BIX	KBIX	Keesler Air Force Base	Biloxi, Mississippi, United States
BJC	KBJC	Rocky Mountain Metropolitan Airport	Denver, Colorado, United States
BJI	KBJI	Bemidji Regional Airport	Bemidji, Minnesota, United States
BJJ	KBJJ	Wayne County Airport (Ohio)|Wayne County Airport	Wooster, Ohio, United States
BKC	PABL	Buckland Airport (FAA: BVK)	Buckland, Alaska, United States
BKD	KBKD	Stephens County Airport	Breckenridge, Texas, United States
BKE	KBKE	Baker City Municipal Airport	Baker City, Oregon, United States
BKF	KBKF	Buckley Air Force Base	Aurora, Colorado, United States
BKG	KBBG	Branson Airport (FAA: BBG)	Branson, Missouri, United States
BKH	PHBK	Pacific Missile Range Facility|Barking Sands PMRF	Kekaha, Hawaii, United States
BKL	KBKL	Burke Lakefront Airport	Cleveland, Ohio, United States
BKT	KBKT	Allen C. Perkinson Airport / Blackstone Army Airfield	Blackstone, Virginia, United States
BKW	KBKW	Raleigh County Memorial Airport	Beckley, West Virginia, United States
BKX	KBKX	Brookings Regional Airport	Brookings, South Dakota, United States
BLD		Boulder City Municipal Airport (FAA: 61B)	Boulder City, Nevada, United States
BLF	KBLF	Mercer County Airport (West Virginia)|Mercer County Airport	Bluefield, West Virginia, United States
BLH	KBLH	Blythe Airport	Blythe, California, United States
BLI	KBLI	Bellingham International Airport	Bellingham, Washington, United States
BLM	KBLM	Monmouth Executive Airport	Belmar, New Jersey|Belmar/Farmingdale, New Jersey|Farmingdale, New Jersey, United States
BLU	KBLU	Blue Canyon - Nyack Airport	Emigrant Gap, California, United States
BLV	KBLV	MidAmerica St. Louis Airport / Scott Air Force Base	Belleville, Illinois, United States
BMC	KBMC	Brigham City Airport	Brigham City, Utah, United States
BMG	KBMG	Monroe County Airport (Indiana)|Monroe County Airport	Bloomington, Indiana, United States
BMI	KBMI	Central Illinois Regional Airport	Bloomington, Illinois, United States
BML	KBML	Berlin Regional Airport	Berlin, New Hampshire, United States
BMT	KBMT	Beaumont Municipal Airport	Beaumont, Texas, United States
BMX	PABM	Big Mountain Air Force Station (FAA: 37AK)	Big Mountain, Alaska|Big Mountain, Alaska, United States
BNA	KBNA	Nashville International Airport	Nashville, Tennessee, United States
BNF		Warm Springs Bay Seaplane Base	Baranof, Alaska, United States
BNG	KBNG	Banning Municipal Airport	Banning, California, United States
BNL	KBNL	Barnwell Regional Airport	Barnwell, South Carolina, United States
BNO	KBNO	Burns Municipal Airport	Burns, Oregon, United States
BNW	KBNW	Boone Municipal Airport	Boone, Iowa, United States
BOF	KBOF	Bolling Air Force Base	Washington, D.C., United States
BOI	KBOI	Boise Airport|Boise Air Terminal (Gowen Field)	Boise, Idaho, United States
BOK	KBOK	Brookings Airport	Brookings, Oregon, United States
BOS	KBOS	Logan International Airport	Boston, Massachusetts, United States
BOW	KBOW	Bartow Municipal Airport	Bartow, Florida, United States
BPI	KBPI	Big Piney-Marbleton Airport	Big Piney, Wyoming, United States
BPT	KBPT	Southeast Texas Regional Airport	Beaumont, Texas|Beaumont/Port Arthur, Texas|Port Arthur), Texas, United States
BQK	KBQK	Brunswick Golden Isles Airport	Brunswick, Georgia, United States
BQV		Bartlett Cove Seaplane Base	Bartlett Cove, Alaska|Bartlett Cove, Alaska, United States
BRD	KBRD	Brainerd Lakes Regional Airport	Brainerd, Minnesota, United States
BRL	KBRL	Southeast Iowa Regional Airport	Burlington, Iowa, United States
BRO	KBRO	Brownsville/South Padre Island International Airport	Brownsville, Texas, United States
BRW	PABR	Wiley Post-Will Rogers Memorial Airport	Barrow, Alaska, United States
BRY	KBRY	Samuels Field	Bardstown, Kentucky, United States
BSF	PHSF	Bradshaw Army Airfield	Camp Pohakuloa, Hawaii, United States
BSQ		Bisbee Municipal Airport (FAA: P04)	Bisbee, Arizona, United States
BSW		Boswell Bay Airport (FAA: AK97)	Boswell Bay, Alaska|Boswell Bay, Alaska, United States
BTF	KBTF	Skypark Airport	Bountiful, Utah, United States
BTI	PABA	Barter Island LRRS Airport	Barter Island, Alaska, United States
BTL	KBTL	W. K. Kellogg Airport	Battle Creek, Michigan, United States
BTM	KBTM	Bert Mooney Airport	Butte, Montana, United States
BTN	KBBP	Marlboro County Jetport (FAA: BBP)	Bennettsville, South Carolina, United States
BTP	KBTP	Butler County Airport (K.W. Scholter Field)	Butler, Pennsylvania, United States
BTR	KBTR	Baton Rouge Metropolitan Airport (Ryan Field)	Baton Rouge, Louisiana, United States
BTT	PABT	Bettles Airport	Bettles, Alaska, United States
BTV	KBTV	Burlington International Airport	Burlington, Vermont, United States
BTY	KBTY	Beatty Airport	Beatty, Nevada, United States
BUB	KBUB	Cram Field	Burwell, Nebraska, United States
BUF	KBUF	Buffalo Niagara International Airport	Buffalo, New York, United States
BUM	KBUM	Butler Memorial Airport	Butler, Missouri, United States
BUR	KBUR	Bob Hope Airport	Burbank, California, United States
BVO	KBVO	Bartlesville Municipal Airport	Bartlesville, Oklahoma, United States
BVU	PABG	Beluga Airport (FAA: BLG)	Beluga, Alaska, United States
BVX	KBVX	Batesville Regional Airport	Batesville, Arkansas, United States
BVY	KBVY	Beverly Municipal Airport	Beverly, Massachusetts, United States
BWC	KBWC	Brawley Municipal Airport	Brawley, California, United States
BWD	KBWD	Brownwood Regional Airport	Brownwood, Texas, United States
BWG	KBWG	Bowling Green-Warren County Regional Airport	Bowling Green, Kentucky, United States
BWI	KBWI	Baltimore-Washington International Thurgood Marshall Airport	between Baltimore, Maryland and Washington, DC, United States
BWL		Earl Henry Airport (FAA: 6OK6)	Blackwell, Oklahoma, United States
BWM	KBPP	Bowman Municipal Airport (FAA: BPP)	Bowman, North Dakota, United States
BWS		Blaine Municipal Airport (FAA: 4W6)	Blaine, Washington, United States
BXA	KBXA	George R. Carr Memorial Air Field	Bogalusa, Louisiana, United States
BXK	KBXK	Buckeye Municipal Airport	Buckeye, Arizona, United States
BXS		Borrego Valley Airport (FAA: L08)	Borrego Springs, California, United States
BYA		Boundary Airport	Boundary, Alaska, United States
BYG	KBYG	Johnson County Airport (Wyoming)|Johnson County Airport	Buffalo, Wyoming, United States
BYH	KBYH	Arkansas International Airport	Blytheville, Arkansas, United States
BYI	KBYI	Burley Municipal Airport	Burley, Idaho, United States
BYS	KBYS	Bicycle Lake Army Airfield (Fort Irwin)	Barstow, California, United States
BYW		Blakely Island Airport (FAA: 38WA)	Blakely Island, Washington, United States
BZN	KBZN	Gallatin Field Airport	Bozeman, Montana, United States
CAD	KCAD	Wexford County Airport	Cadillac, Michigan, United States
CAE	KCAE	Columbia Metropolitan Airport	West Columbia, South Carolina|West Columbia (near Columbia, South Carolina|Columbia), South Carolina, United States
CAK	KCAK	Akron-Canton Regional Airport	Akron, Ohio|Akron / Canton, Ohio, United States
CAO	KCAO	Clayton Municipal Airpark	Clayton, New Mexico, United States
CAR	KCAR	Caribou Municipal Airport	Caribou, Maine, United States
CBE	KCBE	Greater Cumberland Regional Airport	Cumberland, Maryland, United States
CBF	KCBF	Council Bluffs Municipal Airport	Council Bluffs, Iowa, United States
CBK	KCBK	Colby Municipal Airport (Shalz Field)	Colby, Kansas, United States
CBM	KCBM	Columbus Air Force Base	Columbus, Mississippi, United States
CCB	KCCB	Cable Airport	Upland, California, United States
CCD		Century City Heliport (FAA: 84CL)	Los Angeles, California, United States
CCG		Crane County Airport (FAA: E13)	Crane, Texas, United States
CCR	KCCR	Buchanan Field	Concord, California, United States
CCY	KCCY	Northeast Iowa Regional Airport	Charles City, Iowa, United States
CDB	PACD	Cold Bay Airport	Cold Bay, Alaska, United States
CDC	KCDC	Cedar City Regional Airport	Cedar City, Utah, United States
CDE	PACE	Cape Decision Coast Guard Heliport	Cape Decision, Alaska, United States
CDH	KCDH	Harrell Field	Camden, Arkansas, United States
CDK	KCDK	George T. Lewis Airport	Cedar Key, Florida, United States
CDL		Candle 2 Airport (FAA: AK75)	Candle, Alaska|Candle, Alaska, United States
CDN	KCDN	Woodward Field (airport)|Woodward Field	Camden, South Carolina, United States
CDR	KCDR	Chadron Municipal Airport	Chadron, Nebraska, United States
CDS	KCDS	Childress Municipal Airport	Childress, Texas, United States
CDV	PACV	Merle K. (Mudhole) Smith Airport	Cordova, Alaska, United States
CDW	KCDW	Essex County Airport	Caldwell, New Jersey, United States
CEA	KCEA	Cessna Aircraft Field	Wichita, Kansas, United States
CEC	KCEC	Jack McNamara Field	Crescent City, California, United States
CEF	KCEF	Westover ARB/Westover Metropolitan Airport	Springfield, Massachusetts|Springfield/Chicopee, Massachusetts, United States
CEM	PARL	Central Airport	Central, Alaska, United States
CEU	KCEU	Oconee County Regional Airport	Clemson, South Carolina, United States
CEV	KCEV	Mettel Field	Connersville, Indiana, United States
CEW	KCEW	Bob Sikes Airport	Crestview, Florida, United States
CEX		Chena Hot Springs Airport (FAA: AK13)	Chena Hot Springs, Alaska, United States
CEY	KCEY	Murray-Calloway County Airport	Murray, Kentucky, United States
CEZ	KCEZ	Cortez Municipal Airport	Cortez, Colorado, United States
CFD	KCFD	Coulter Field	Bryan, Texas, United States
CFT	KCFT	Greenlee County Airport	Clifton, Arizona|Clifton/Morenci, Arizona, United States
CFV	KCFV	Coffeyville Municipal Airport	Coffeyville, Kansas, United States
CGA		Craig Seaplane Base	Craig, Alaska, United States
CGE	KCGE	Cambridge-Dorchester Airport	Cambridge, Maryland, United States
CGF	KCGF	Cuyahoga County Airport	Cleveland, Ohio, United States
CGI	KCGI	Cape Girardeau Regional Airport	Cape Girardeau, Missouri, United States
CGS	KCGS	College Park Airport	College Park, Maryland, United States
CGZ	KCGZ	Casa Grande Municipal Airport	Casa Grande, Arizona, United States
CHA	KCHA	Chattanooga Metropolitan Airport (Lovell Field)	Chattanooga, Tennessee, United States
CHI		List of airports in the Chicago area|All Airports	Chicago, Illinois, United States
CHK	KCHK	Chickasha Municipal Airport	Chickasha, Oklahoma, United States
CHL	KLLJ	Challis Airport (FAA: LLJ)	Challis, Idaho, United States
CHO	KCHO	Charlottesville-Albemarle Airport	Charlottesville, Virginia, United States
CHP		Circle Hot Springs Airport	Circle Hot Springs, Alaska, United States
CHS	KCHS	Charleston International Airport / Charleston AFB	Charleston, South Carolina, United States
CHU		Chuathbaluk Airport (FAA: 9A3)	Chuathbaluk, Alaska, United States
CHZ		Chiloquin State Airport (FAA: 2S7)	Chiloquin, Oregon, United States
CIB	KAVX	Catalina Airport (FAA: AVX)	Avalon, California, United States
CIC	KCIC	Chico Municipal Airport	Chico, California, United States
CID	KCID	The Eastern Iowa Airport	Cedar Rapids, Iowa, United States
CIG	KCAG	Craig-Moffat Airport (FAA: CAG)	Craig, Colorado, United States
CIK	PACI	Chalkyitsik Airport	Chalkyitsik, Alaska, United States
CIL		Council Airport (FAA: K29)	Council, Alaska, United States
CIN	KCIN	Arthur N. Neu Airport	Carroll, Iowa, United States
CIR	KCIR	Cairo Regional Airport	Cairo, Illinois, United States
CIU	KCIU	Chippewa County International Airport	Sault Ste Marie, Michigan, United States
CKA	KCKA	Kegelman Air Force Auxiliary Field	Cherokee, Oklahoma, United States
CKB	KCKB	North Central West Virginia Airport	Clarksburg, West Virginia, United States
CKD		Crooked Creek Airport (FAA: CJX)	Crooked Creek, Alaska, United States
CKE		Ferndale Resort Seaplane Base (FAA: CN20)	Kelseyville, California, United States
CKF	KCKF	Crisp County-Cordele Airport	Cordele, Georgia, United States
CKM	KCKM	Fletcher Field	Clarksdale, Mississippi, United States
CKN	KCKN	Crookston Municipal Airport (Kirkwood Field)	Crookston, Minnesota, United States
CKU		Cordova Municipal Airport	Cordova, Alaska, United States
CKV	KCKV	Outlaw Field	Clarksville, Tennessee, United States
CKX		Chicken Airport	Chicken, Alaska, United States
CLD	KCRQ	McClellan-Palomar Airport (FAA: CRQ)	Carlsbad, California, United States
CLE	KCLE	Cleveland Hopkins International Airport	Cleveland, Ohio, United States
CLF		Clear Sky Lodge Airport	Clear, Alaska|Clear, Alaska, United States
CLG		New Coalinga Municipal Airport (FAA: C80)	Coalinga, California, United States
CLI	KCLI	Clintonville Municipal Airport	Clintonville, Wisconsin, United States
CLK	KCLK	Clinton Regional Airport	Clinton, Oklahoma, United States
CLL	KCLL	Easterwood Airport (Easterwood Field)	College Station, Texas, United States
CLM	KCLM	William R. Fairchild International Airport	Port Angeles, Washington, United States
CLP	PFCL	Clarks Point Airport	Clarks Point, Alaska, United States
CLR	KCLR	Cliff Hatfield Memorial Airport	Calipatria, California, United States
CLS	KCLS	Chehalis-Centralia Airport	Chehalis, Washington, United States
CLT	KCLT	Charlotte/Douglas International Airport	Charlotte, North Carolina, United States
CLU	KBAK	Columbus Municipal Airport (Indiana)|Columbus Municipal Airport (FAA: BAK)	Columbus, Indiana, United States
CLW	KCLW	Clearwater Air Park	Clearwater, Florida, United States
CMH	KCMH	Port Columbus International Airport	Columbus, Ohio, United States
CMI	KCMI	University of Illinois Willard Airport	Champaign-Urbana, Illinois, United States
CMX	KCMX	Houghton County Memorial Airport	Hancock, Michigan, United States
CMY	KCMY	Sparta/Fort McCoy Airport	Sparta, Wisconsin, United States
CNE		Fremont County Airport (FAA: 1V6)	Cañon City, Colorado, United States
CNH	KCNH	Claremont Municipal Airport	Claremont, New Hampshire, United States
CNK	KCNK	Blosser Municipal Airport	Concordia, Kansas, United States
CNM	KCNM	Cavern City Air Terminal	Carlsbad, New Mexico, United States
CNO	KCNO	Chino Airport	Chino, California, United States
CNU	KCNU	Chanute Martin Johnson Airport	Chanute, Kansas, United States
CNW	KCNW	TSTC Waco Airport	Waco, Texas, United States
CNY	KCNY	Canyonlands Field	Moab, Utah, United States
COA		Columbia Airport (California)|Columbia Airport (FAA: O22)	Columbia, California, United States
COD	KCOD	Yellowstone Regional Airport	Cody, Wyoming, United States
COE	KCOE	Coeur d'Alene Air Terminal	Coeur d'Alene, Idaho, United States
