AAA	NTGA	Anaa Airport	Anaa, Tuamotus, French Polynesia
ABW		Abau Airport	Abau, Papua New Guinea
ABX	YMAY	Albury Airport	Albury, New South Wales, Australia
ABY	KABY	Southwest Georgia Regional Airport	Albany, Georgia, United States
ABZ	EGPD	Aberdeen Airport	Aberdeen, Scotland, United Kingdom
ACA	MMAA	General Juan N. Álvarez International Airport	Acapulco, Guerrero, Mexico
ACB	KACB	Antrim County Airport	Bellaire, Michigan, United States
ACC	DGAA	Kotoka International Airport	Accra, Ghana
ACD	SKAD	Alcides Fernández Airport	Acandí, Colombia
ACE	GCRR	Lanzarote Airport	Arrecife, Canary Islands, Spain
ACH	LSZR	St. Gallen Altenrhein Airport	Altenrhein, Switzerland
ACI	EGJA	Alderney Airport	Alderney, Channel Islands
ACK	KACK	Nantucket Memorial Airport	Nantucket, Massachusetts, United States
ACL	SKAG	Cesar Airport	Aguaclara, Colombia
ACM		Arica Airport	Arica, Amazonas, Colombia
ACN	MMCC	Ciudad Acuña International Airport	Ciudad Acuña, Coahuila, Mexico
ACO	LSZD	Ascona Airport	Ascona, Switzerland
ACR	SKAC	Araracuara Airport	Araracuara, Colombia
ACS	UNKS	Achinsk Airport	Achinsk, Krasnoyarski, Russia
ACT	KACT	Waco Regional Airport	Waco, Texas, United States
ACU		Achutupo Airport	Achutupo, Panama
ACV	KAVC	Arcata-Eureka Airport	McKinleyville, California, United States
ACY	KACY	Atlantic City International Airport	Atlantic City, New Jersey, United States
ACZ	OIZB	Zabol Airport	Zabol, Iran
ADA	LTAF	Adana Şakirpaşa Airport	Adana, Turkey
ADB	LTBJ	Adnan Menderes Airport	İzmir, Turkey
ADC		Andakombe Airport	Andakombe, Papua New Guinea
ADD	HAAB	Bole International Airport	Addis Ababa, Ethiopia
ADE	OYAA	Aden International Airport	Aden, Yemen
ADF	LTCP	Adıyaman Airport	Adıyaman, Turkey
ADG	KADG	Lenawee County Airport	Adrian, Michigan, United States
ADH	UEEA	Aldan Airport	Aldan, Russia|Aldan, Russia
ADI	FYAR	Arandis Airport	Arandis/Swakopmund, Namibia
ADJ	OJAM	Marka International Airport	Amman, Jordan
ADK	PADK	Adak Island Airport	Adak Island, Alaska, United States
ADL	YPAD	Adelaide International Airport	Adelaide, South Australia, Australia
ADM	KADM	Ardmore Municipal Airport	Ardmore, Oklahoma, United States
ADN	SKAN	Andes Airport	Andes, Antioquia|Andes, Colombia
ADO	YAMK	Andamooka Airport	Andamooka, South Australia, Australia
ADP	VCCA	Anuradhapura Airport	Anuradhapura, Sri Lanka
ADQ	PADQ	Kodiak Airport	Kodiak, Alaska, United States
ADR	KPHH	Robert F. Swinnie Airport (FAA: PHH)	Andrews, South Carolina, United States
ADS	KADS	Addison Airport	Dallas, Texas, United States
ADT	KADH	Ada Municipal Airport (FAA: ADH)	Ada, Oklahoma, United States
ADU	OITL	Ardabil Airport	Ardabil, Iran
ADV	EGWA	Andover Airport	Andover, Hampshire|Andover, England, United Kingdom
ADW	KADW	Andrews Air Force Base	Camp Springs, Maryland, United States
ADX	EGQL	RAF Leuchars	St Andrews, Scotland, United Kingdom
ADY	FAAL	Alldays Airport	Alldays, Limpopo, South Africa
ADZ	SKSP	Gustavo Rojas Pinilla International Airport	San Andrés, Colombia|San Andres Island, Colombia
AEA	NGTB	Abemama Atoll Airport	Abemama|Abemama Atoll, Kiribati
AED		Aleneva Airport	Aleneva, Alaska, United States
AEG	WIME	Aek Godang Airport	Padang Sidempuan, Indonesia
AEH	FTTC	Abéché Airport	Abéché, Chad
AEK		Aseki Airport	Aseki, Papua New Guinea
AEL	KAEL	Albert Lea Municipal Airport	Albert Lea, Minnesota, United States
AEO	GQNA	Aioun el Atrouss Airport	Ayoun el Atrous|Aioun El Atrouss, Mauritania
AEP	SABE	Jorge Newbery Airpark	Buenos Aires, Argentina
AER	URSS	Adler-Sochi International Airport	Sochi, Krasnodar, Russia
AES	ENAL	Ålesund Airport, Vigra	Aalesund, Norway
AET	PFAL	Allakaket Airport (FAA: 6A8)	Allakaket, Alaska, United States
AEX	KAEX	Alexandria International Airport	Alexandria, Louisiana, United States
AEY	BIAR	Akureyri Airport	Akureyri, Iceland
AFA	SAMR	San Rafael Airport	San Rafael, Mendoza|San Rafael, Mendoza, Argentina
AFD	FAPA	Port Alfred Airport	Port Alfred, South Africa
AFF	KAFF	United States Air Force Academy Airfield	Colorado Springs, Colorado, United States
AFI	SKAM	Amalfi Airport	Amalfi, Antioquia|Amalfi, Colombia
AFL	SBAT	Alta Floresta Airport	Alta Floresta, Brazil
AFN	KAFN	Jaffrey Airport - Silver Ranch Airpark	Jaffrey, New Hampshire, United States
AFO	KAFO	Afton Municipal Airport	Afton, Wyoming, United States
AFR		Afore Airport	Afore, Papua New Guinea|Afore, Papua New Guinea
AFT	AGAF	Afutara Airport	Afutara, Solomon Islands
AFW	KAFW	Fort Worth Alliance Airport	Fort Worth, Texas, United States
AFY	LTAH	Afyon Airport	Afyon, Turkey
AGA	GMAD	Al Massira Airport	Agadir, Morocco
AGB	EDMA	Augsburg Airport	Augsburg, Bavaria, Germany
AGC	KAGC	Allegheny County Airport	Pittsburgh, Pennsylvania, United States
AGD		Anggi Airport	Anggi, Indonesia
AGE	EDWG	Wangerooge Airport	Wangerooge, Lower Saxony, Germany
AGF	LFBA	Agen - La Garenne Aerodrome	Agen, France
AGG		Angorarn Airport	Angorarn, Papua New Guinea
AGH	ESTA	Ängelholm-Helsingborg Airport (former ICAO: ESDB)	Ängelholm, Sweden
AGI	SMWA	Wageningen Airport	Wageningen, Suriname
AGJ	RORA	Aguni Airport	Aguni, Okinawa|Aguni, Japan
AGK		Kagua Airport	Kagua, Papua New Guinea
AGL		Wanigela Airport	Wanigela, Papua New Guinea|Wanigela, Papua New Guinea
AGM	BGAM	Tasiilaq Heliport	Tasiilaq, Greenland
AGN	PAGN	Angoon Seaplane Base	Angoon, Alaska, United States
AGO	KAGO	Magnolia Municipal Airport	Magnolia, Arkansas, United States
AGP	LEMG	Málaga Airport|Pablo Ruiz Picasso Airport	Málaga, Spain
AGQ	LGAG	Agrinion Airport	Agrinion, Greece
AGR	VIAG	Agra Airport/Agra Air Force Station	Agra, India
AGS	KAGS	Augusta Regional Airport at Bush Field	Augusta, Georgia, United States
AGT	SGES	Guarani International Airport (Alejo Garcia Airport)	Ciudad del Este, Paraguay
AGU	MMAS	Lic. Jesús Terán Peredo International Airport	Aguascalientes, Mexico
AGV	SVAC	Oswaldo Guevara Mujica Airport	Acarigua, Venezuela
AGW		Agnew Airport	Agnew, Queensland|Agnew, Queensland, Australia
AGX	VOAT	Agatti Island Airport	Agatti Island, India
AGY		Argyle Downs Airport	Argyle Downs, Western Australia|Argyle Downs, Western Australia, Australia
AGZ	FAAG	Aggeneys Airport	Aggeneys, South Africa
AHB	OEAB	Abha Regional Airport	Abha / Khamis Mushait, Saudi Arabia
AHC	KAHC	Amedee Army Airfield	Herlong, California
AHD		Ardmore Downtown Executive Airport (FAA: 1F0)	Ardmore, Oklahoma, United States
AHE	NTHE	Ahe Airport	Ahe, French Polynesia
AHF		Arapahoe Municipal Airport (FAA: 37V)	Arapahoe, Nebraska, United States
AHH	KAHH	Amery Municipal Airport	Amery, Wisconsin, United States
AHI	WAPA	Amahai Airport	Amahai, Indonesia
AHL	SYAH	Aishalton Airport	Aishalton, Guyana
AHN	KAHN	Athens-Ben Epps Airport	Athens, Georgia, United States
AHO	LIEA	Fertilia Airport (Alghero Airport)	Alghero, Sardinia, Italy
AHS		Ahuas Airport	Ahuas, Honduras
AHU	GMTA	Charif Al ldrissi Airport	Al Hoceima, Morocco
AHY		Ambatolahy Airport	Ambatolahy, Madagascar
AHZ	LFHU	Alpe d'Huez Airport	Alpe d'Huez, France
AIA	KAIA	Alliance Municipal Airport	Alliance, Nebraska, United States
AIC		Airok Airport	Airok, Marshall Islands
AID	KAID	Anderson Municipal Airport (Darlington Field)	Anderson, Indiana, United States
AIE		Aiome Airport	Aiome, Papua New Guinea
AIF	SBAS	Assis Airport	Assis, São Paulo, Brazil
AIG	FEFY	Yalinga Airport	Yalinga, Central African Republic
AIH		Aiambak Airport	Aiambak, Papua New Guinea
AII	HDAS	Ali-Sabieh Airport	Ali-Sabieh, Djibouti
AIK	KAIK	Aiken Municipal Airport	Aiken, South Carolina, United States
AIL		Ailigandi Airport	Ailigandi, Panama
AIM		Ailuk Airport	Ailuk, Marshall Islands
AIN	PAWI	Wainwright Airport (Alaska)|Wainwright Airport (FAA: AWI)	Fort Wainwright, Alaska, United States
AIO	KAIO	Atlantic Municipal Airport	Atlantic, Iowa, United States
AIP		Ailinglaplap Airport	Ailinglaplap Atoll, Marshall Islands
AIR		Aripuanã Airport	Aripuanã, Mato Grosso, Brazil
AIS	NGTR	Arorae Island Airport	Arorae|Arorae Island, Kiribati
AIT	NCAI	Aitutaki Island Airport	Aitutaki, Cook Islands
AIU	NCAT	Atiu Island Airport	Atiu|Atiu Island, Cook Islands
AIV	KAIV	George Downer Airport	Aliceville, Alabama, United States
AIW		Ai-Ais Airport	Ai-Ais, Namibia
AIY	KAIY	Bader Field|Atlantic City Municipal Airport (Bader Field) (closed 2006)	Atlantic City, New Jersey, United States
AIZ	KAIZ	Lee C. Fine Memorial Airport	Lake Ozark, Missouri, United States
AJA	LFKJ	Ajaccio - Campo dell'Oro Airport	Ajaccio, Corsica, France
AJF	OESK	Al-Jawf Domestic Airport	Al-Jawf, Saudi Arabia
AJI	LTCO	Ağrı Airport	Ağrı, Turkey
AJJ	GQNJ	Akjoujt Airport	Akjoujt, Mauritania
AJL	VEAZ	Aizawl Airport	Aizawl, India
AJN	FMCV	Ouani Airport	Anjouan, Comoros|Comoros Islands
AJO		Aljouf Airport	Aljouf, Yemen
AJR	ESNX	Arvidsjaur Airport	Arvidsjaur Municipality|Arvidsjaur, Sweden
AJS		Abreojos Airport	Abreojos, Baja California Sur, Mexico
AJU	SBAR	Santa Maria Airport (Sergipe)|Santa Maria Airport	Aracaju, Sergipe, Brazil
AJY	DRZA	Mano Dayak International Airport	Agadez, Niger
AKA	ZLAK	Ankang Airport	Ankang, Shaanxi, People's Republic of China
AKB	PAAK	Atka Airport (FAA: AKA)	Atka, Alaska, United States
AKC	KAKR	Akron Fulton International Airport (FAA: AKR)	Akron, Ohio, United States
AKD	VAAK	Akola Airport	Akola city|Akola, India
AKE	FOGA	Akieni Airport	Akieni, Gabon
AKF	HLKF	Kufra Airport	Kufra, Libya
AKG		Anguganak Airport	Anguganak, Papua New Guinea
AKI	PFAK	Akiak Airport	Akiak, Alaska, United States
AKJ	RJEC	Asahikawa Airport	Asahikawa, Hokkaido, Japan
AKK	PAKH	Akhiok Airport	Akhiok, Alaska, United States
AKL	NZAA	Auckland Airport	Mangere, New Zealand
AKM		Zakouma Airport	Zakouma, Chad
AKN	PAKN	King Salmon Airport	King Salmon, Alaska, United States
AKO	KAKO	Colorado Plains Regional Airport	Akron, Colorado, United States
AKP	PAKP	Anaktuvuk Pass Airport	Anaktuvuk Pass, Alaska, United States
AKQ	WIAG	Gunung Batin Airport	Astraksetra, Indonesia
AKR	DNAK	Akure Airport	Akure, Nigeria
AKS	AGGA	Gwaunaru'u Airport	Auki, Solomon Islands
AKT	LCRA	RAF Akrotiri	Akrotiri, Cyprus
AKU	ZWAK	Aksu Airport	Aksu, Xinjiang, People's Republic of China
AKV	CYKO	Akulivik Airport	Akulivik, Quebec, Canada
AKX	UATT	Aqtobe Airport	Aqtobe (Aktyubinsk), Kazakhstan
AKY	VYSW	Sittwe Airport	Sittwe, Myanmar (Burma)
ALA	UAAA	Almaty International Airport	Almaty, Kazakhstan
ALB	KALB	Albany International Airport	Albany, New York, United States
ALC	LEAL	El Altet Airport	Alicante, Spain
ALD	SPAR	Alerta Airport	Alerta, Peru
ALE		Alpine-Casparis Municipal Airport (FAA: E38)	Alpine, Texas, United States
ALF	ENAT	Alta Airport	Alta, Norway|Alta, Norway
ALG	DAAG	Houari Boumedienne Airport	Algiers, Algeria
ALH	YABA	Albany Airport (Australia)|Albany Airport	Albany, Western Australia, Australia
ALI	KALI	Alice International Airport	Alice, Texas, United States
ALJ	FAAB	Kortdoorn Airport	Alexander Bay, Northern Cape|Alexander Bay, South Africa
ALK		Asella Airport	Asella, Ethiopia
ALL	LIMG	Albenga Airport	Albenga/Villanova, Italy
ALM	KALM	Alamogordo-White Sands Regional Airport	Alamogordo, New Mexico, United States
ALN	KALN	St. Louis Regional Airport	Alton, Illinois, United States
ALO	KALO	Waterloo Regional Airport	Waterloo, Iowa, United States
ALP	OSAP	Aleppo International Airport (Nejrab Airport)	Aleppo, Syria
ALQ	SSLT	Alegrete Federal Airport	Alegrete, Rio Grande do Sul, Brazil
ALR	NZLX	Alexandra Airport	Alexandra, New Zealand|Alexandra, New Zealand
ALS	KALS	San Luis Valley Regional Airport	Alamosa, Colorado, United States
ALT		Alenquer Airport	Alenquer, Pará|Alenquer, Pará, Brazil
ALU	HCMA	Alula Airport	Alula, Somalia|Alula, Somalia
ALV		Andorra La Vella Airport	Andorra la Vella, Andorra
ALW	KALW	Walla Walla Regional Airport	Walla Walla, Washington, United States
ALX	KALX	Thomas C. Russell Field	Alexander City, Alabama, United States
ALY	HEAX	Alexandria International Airport (Egypt)|Alexandria International Airport	Alexandria, Egypt
ALZ		Alitak Seaplane Base	Lazy Bay, Alaska, United States
AMA	KAMA	Rick Husband Amarillo International Airport	Amarillo, Texas, United States
AMB	FMNE	Ambilobe Airport	Ambilobe, Madagascar
AMC	FTTN	Am Timan Airport	Am Timan, Chad
AMD	VAAH	Sardar Vallabhbhai Patel International Airport	Ahmedabad, India
AME		Alto Molocue Airport	Alto Molocue, Mozambique
AMF		Ama Airport	Ama, Papua New Guinea
AMG		Amboin Airport	Amboin, Papua New Guinea
AMH	HAAM	Arba Minch Airport	Arba Minch, Ethiopia
AMI	WADA	Selaparang Airport	Mataram (city)|Mataram, Indonesia
AMJ	SNAR	Almenara Airport	Almenara, Minas Gerais, Brazil
AMK		Animas Air Park (FAA: 00C)	Durango, Colorado, United States
AML		Puerto Armuellas Airport	Puerto Armuellas, Panama
AMM	OJAI	Queen Alia International Airport	Amman, Jordan
AMN	KAMN	Gratiot Community Airport	Alma, Michigan, United States
AMO	FTTU	Mao Airport	Mao, Chad
AMP	FMSY	Ampanihy Airport	Ampanihy, Madagascar
AMQ	WAPP	Pattimura Airport	Ambon, Maluku|Ambon, Indonesia
AMR		Arno Airport	Arno Atoll|Arno, Marshall Islands
AMS	EHAM	Schiphol Airport	Haarlemmermeer, Netherlands
AMT	YAMT	Amata Airport	Amata, Northern Territory|Amata, Northern Territory, Australia
AMU		Amanab Airport	Amanab, Papua New Guinea
AMV	ULDD	Amderma Airport	Amderma, Russia
AMW	KAMW	Ames Municipal Airport	Ames, Iowa, United States
AMX		Ammaroo Airport	Ammaroo, Northern Territory|Ammaroo, Northern Territory, Australia
AMY		Ambatomainty Airport	Ambatomainty, Madagascar
AMZ	NZAR	Ardmore Airport (New Zealand)|Ardmore Airport	Ardmore, New Zealand|Ardmore, New Zealand
ANB	KANB	Anniston Metropolitan Airport	Anniston, Alabama, United States
ANC	PANC	Ted Stevens Anchorage International Airport	Anchorage, Alaska, United States
AND	KAND	Anderson Regional Airport	Anderson, South Carolina, United States
ANE	LFJR	Angers - Avrillé Aerodrome (Angers-Marcé Airport)	Angers, France
ANF	SCFA	Cerro Moreno International Airport	Antofagasta, Chile
ANG	LFBU	Angoulême - Brie - Champniers Airport	Angoulême, France
ANH		Anuha Island Resort Airport	Anuha Island Resort, Solomon Islands
ANI	PANI	Aniak Airport	Aniak, Alaska, United States
ANJ	FCBZ	Zanaga Airport	Zanaga, Republic of the Congo
ANK	LTAD	Etimesgut Airport	Ankara, Turkey
ANL		Andulo Airport	Andulo, Angola
ANM	FMNH	Antsirabato Airport	Antalaha, Madagascar
ANN	PANT	Annette Island Airport	Annette Island, Alaska, United States
ANO	FQAG	Angoche Airport	Angoche, Mozambique
ANP	KANP	Lee Airport	Annapolis, Maryland, United States
ANQ	KANQ	Tri-State Steuben County Airport	Angola, Indiana, United States
ANR	EBAW	Antwerp International Airport	Antwerp, Belgium
ANS	SPHY	Andahuaylas Airport	Andahuaylas, Peru
ANT		St. Anton Airport	St. Anton, Austria
ANU	TAPA	V.C. Bird International Airport	St. John's, Antigua and Barbuda|St. John's, Antigua, Antigua and Barbuda
ANV	PANV	Anvik Airport	Anvik, Alaska, United States
ANW	KANW	Ainsworth Municipal Airport	Ainsworth, Nebraska, United States
ANX	ENAN	Andøya Airport, Andenes	Andenes, Norway
ANY	KANY	Anthony Municipal Airport	Anthony, Kansas, United States
ANZ		Angus Downs Airport	Angus Downs, Northern Territory|Angus Downs, Northern Territory, Australia
AOA		Aroa Airport	Aroa, Papua New Guinea
AOB		Annanberg Airport	Annanberg, Papua New Guinea
AOC	EDAC	Leipzig-Altenburg Airport	Altenburg, Thuringia, Germany
AOD		Abou-Deia Airport	Abou-Deia, Chad
AOE	LTBY	Anadolu Airport	Eskişehir, Turkey
AOG	ZYAS	Anshan Airport	Anshan, China|Anshan, Liaoning, People's Republic of China
AOH	KAOH	Lima Allen County Airport	Lima, Ohio, United States
AOI	LIPY	Falconara Airport	Ancona, Italy
AOJ	RJSA	Aomori Airport	Aomori, Aomori|Aomori, Japan
AOK	LGKP	Karpathos Airport	Karpathos, Greece
AOL	SARL	Paso de los Libres Airport	Paso de los Libres, Corrientes, Argentina
AON		Arona Airport	Arona, Papua New Guinea|Arona, Papua New Guinea
AOO	KAOO	Altoona-Blair County Airport	Altoona, Pennsylvania, United States
AOR	WMKA	Sultan Abdul Halim Airport	Alor Star, Kedah, Malaysia
AOS		Amook Bay Seaplane Base (FAA: AK81)	Amook Bay, Alaska, United States
AOT	LIMW	Corrado Gex Airport	Aosta, Italy
AOU	VLAP	Attopeu Airport	Attapu|Attopeu, Laos
APA	KAPA	Centennial Airport	Arapahoe County, Colorado, United States
APB	SLAP	Apolo Airport	Apolo, Bolivia
APC	KAPC	Napa County Airport	Napa, California, United States
APE	SPAO	San Juan Aposento Airport	San Juan Aposento, Peru
APF	KAPF	Naples Municipal Airport	Naples, Florida, United States
APG	KAPG	Phillips Army Airfield	Aberdeen Proving Ground, Maryland, United States
APH	KAPH	A.P. Hill Army Airfield	Fort A.P. Hill, Virginia, United States
API	SKAP	Gomez Nino-Apiay Airport	Apiay, Colombia
APK	NTGD	Apataki Airport	Apataki, French Polynesia
APL	FQNP	Nampula Airport	Nampula, Mozambique
APN	KAPN	Alpena County Regional Airport	Alpena, Michigan, United States
APO	SKLC	Antonio Roldán Betancourt Airport	Apartadó, Colombia
APP		Asapa Airport	Asapa, Papua New Guinea
APQ	SNAL	Arapiraca Airport	Arapiraca, Alagoas, Brazil
APR		April River Airport	April River, Papua New Guinea
APS	SWNS	Anápolis Airport	Anápolis, Goiás, Brazil
APT	KAPT	Marion County Airport (Tennessee)|Marion County Airport (Brown Field)	Jasper, Tennessee, United States
APU	SSAP	Apucarana Airport	Apucarana, Paraná (state)|Paraná, Brazil
APV	KAPV	Apple Valley Airport (California)|Apple Valley Airport	Apple Valley, California, United States
APW	NSFA	Faleolo International Airport	Apia, Samoa|Apia, Upolu Island, Samoa
APX	SSOG	Arapongas Airport	Arapongas, Paraná (state)|Paraná, Brazil
APY	SNAI	Alto Parnaíba Airport	Alto Parnaíba, Maranhão, Brazil
APZ	SAHZ	Zapala Airport	Zapala, Neuquén, Argentina
AQA	SBAQ	Araraquara Airport	Araraquara, São Paulo (state)|São Paulo, Brazil
AQB	MGQC	Quiché Airport	Santa Cruz del Quiché|Quiché, Quiché (department)|El Quiché, Guatemala
AQG	ZSAQ	Anqing Airport	Anqing, Anhui, People's Republic of China
AQI	OEPA	Qaisumah Domestic Airport	Qaisumah, Hafar Al-Batin, Eastern Province, Saudi Arabia
AQJ	OJAQ	King Hussein International Airport	Aqaba, Jordan
AQM		Ariquemes Airport	Ariquemes, Rondônia, Brazil
AQP	SPQU	Rodriguez Ballon International Airport	Arequipa, Peru
AQS		Saqani Airport	Saqani, Fiji
ARA	KARA	Acadiana Regional Airport	New Iberia, Louisiana, United States
ARB	KARB	Ann Arbor Municipal Airport	Ann Arbor, Michigan, United States
ARC	PARC	Arctic Village Airport	Arctic Village, Alaska, United States
ARD	WATM	Alor Island Airport	Alor Island, Indonesia
ARE	TJAB	Antonio (Nery) Juarbe Pol Airport (FAA: ABO)	Arecibo, Puerto Rico
ARF		Acaricuara Airport	Acaricuara, Colombia
ARG	KARG	Walnut Ridge Regional Airport	Walnut Ridge, Arkansas, United States
ARH	ULAA	Talagi Airport	Arkhangelsk, Russia
ARI	SCAR	Chacalluta International Airport	Arica, Chile
ARJ	WAJA	Arso Airport	Arso, Indonesia
ARK	HTAR	Arusha Airport	Arusha, Tanzania
ARL	DFER	Arly Airport	Arly, Burkina Faso|Arly, Burkina Faso
ARM	YARM	Armidale Airport	Armidale, New South Wales, Australia
ARN	ESSA	Stockholm-Arlanda Airport	Stockholm, Sweden
ARO		Arboletas Airport	Arboletas, Colombia
ARP		Aragip Airport	Aragip, Papua New Guinea
ARQ		Arauquita Airport (El Troncal)	Arauquita, Colombia
ARR	SAVR	Alto Río Senguer Airport	Alto Río Senguer, Chubut Province|Chubut, Argentina
ARS	SWEC	Aragarças Airport	Aragarças, Goiás, Brazil
ART	KART	Watertown International Airport	Watertown, New York, United States
ARU	SBAU	Araçatuba Airport	Araçatuba, São Paulo, Brazil
ARV	KARV	Lakeland Airport (Noble F. Lee Memorial Field)	Minocqua, Wisconsin|Minocqua/Woodruff, Wisconsin, United States
ARW	LRAR	Arad International Airport	Arad, Romania
ARX		Asbury Park Neptune Airport (closed 1977)	Asbury Park, New Jersey, United States
ARY	YARA	Ararat Airport	Ararat, Victoria, Australia
ARZ	FNZE	N'zeto Airport	N'zeto, Angola
ASA	HHSB	Assab International Airport	Assab, Eritrea
ASB	UTAA	Ashgabat Airport	Ashgabat, Turkmenistan
ASC	SLAS	Ascención de Guarayos Airport	Ascención de Guarayos, Bolivia
ASD	MYAF	Andros Town International Airport	Andros Island, Bahamas
ASE	KASE	Aspen-Pitkin County Airport (Sardy Field)	Aspen, Colorado, United States
ASF	URWA	Narimanovo Airport	Astrakhan, Russia
ASG	NZAS	Ashburton Airport	Ashburton, New Zealand|Ashburton, New Zealand
ASH	KASH	Boire Field	Nashua, New Hampshire, United States
ASI	FHAW	Wideawake Field	Georgetown, Ascension Island, Saint Helena
ASJ	RJKA	Amami O Shima Airport	Amami Island, Japan
ASK	DIYO	Yamoussoukro Airport	Yamoussoukro, Côte d'Ivoire
ASL	KASL	Harrison_County_Airport_(Texas)|Harrison County Airport	Marshall, Texas, United States
ASM	HHAS	Asmara International Airport	Asmara, Eritrea
ASN	KASN	Talladega Municipal Airport	Talladega, Alabama, United States
ASO	HASO	Asosa Airport	Asosa, Ethiopia
ASP	YBAS	Alice Springs Airport	Alice Springs, Northern Territory, Australia
ASQ		Austin Airport (FAA: 9U3)	Austin, Nevada, United States
ASR	LTAU	Erkilet International Airport	Kayseri Province, Turkey
AST	KAST	Astoria Regional Airport	Astoria, Oregon, United States
ASU	SGAS	Silvio Pettirossi International Airport	Asunción, Paraguay
ASV	HKAM	Amboseli Airport	Amboseli, Kenya
ASW	HESN	Aswan International Airport	Aswan, Egypt
ASX	KASX	John F. Kennedy Memorial Airport	Ashland, Wisconsin, United States
ASY	KASY	Ashley Municipal Airport	Ashley, North Dakota, United States
ASZ		Asirim Airport	Asirim, Papua New Guinea
ATA	SPHZ	Comandante FAP German Arias Grazziani Airport	Huaraz, Peru
ATB	HSAT	Atbara Airport	Atbarah|Atbara, Sudan
ATC	MYCA	Arthur's Town Airport	Arthur's Town, Cat Island (Bahamas)|Cat Island, Bahamas
ATD	AGAT	Atoifi Airport	Atoifi, Malaita, Solomon Islands
ATE		Antlers Municipal Airport (FAA: 80F)	Antlers, Oklahoma, United States
ATF	SEAM	Chachoan Airport	San Juan de Ambato|Ambato, Ecuador
ATG		Attock Airport	Attock, Pakistan
ATH	LGAV	Eleftherios Venizelos Airport	Athens, Greece
ATI	SUAG	Artigas International Airport	Artigas, Uruguay|Artigas, Uruguay
ATJ	FMME	Antsirabe Airport	Antsirabe, Madagascar
ATK	PATQ	Atqasuk Edward Burnell Sr. Memorial Airport	Atqasuk, Alaska, United States
ATL	KATL	Hartsfield-Jackson Atlanta International Airport	Atlanta, Georgia, United States
ATM	SBHT	Altamira Airport	Altamira, Pará, Brazil
